,Unnamed: 0,operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
6627,6628,sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.597982,-58.426876",157000.0,USD,2380496.8,157000.0,66.0,60.0,2378.787879,2616.666667,,3.0,,http://almagro.properati.com.ar/zfby_venta_departamentos_villa-crespo_parrilla_piscina_vista_pronin-propiedades
6629,6630,sell,apartment,|Argentina|Capital Federal|San Cristobal|,"-34.6545286023,-58.4752734264",105000.0,USD,1592052.0,105000.0,,49.0,,2142.857143,5.0,2.0,,http://san-cristobal.properati.com.ar/w6c5_venta_departamentos_san-cristobal_san-juan-bautista-de-la-salle-av-_2200
6631,6632,sell,apartment,|Argentina|Capital Federal|Puerto Madero|,"-34.6169685,-58.3617114",352000.0,USD,5337164.8,352000.0,75.0,70.0,4693.333333,5028.571429,,3.0,,http://puerto-madero.properati.com.ar/10vbw_venta_departamentos_puerto-madero_balcon_gimnasio_lavadero_piscina_sum_toilette_luminoso_sauna_garage_amenities_baireslodge-com
6633,6634,sell,apartment,|Argentina|Capital Federal|Monserrat|,"-34.62005,-58.38813",75000.0,USD,1137180.0,75000.0,,40.0,,1875.0,2.0,2.0,,http://monserrat.properati.com.ar/11o1h_venta_departamentos_monserrat_balcon_gimnasio_lavadero_parrilla_piscina_sum_garage_re-max-uno
6656,6657,sell,apartment,|Argentina|Capital Federal|Villa Santa Rita|,"-34.6187853,-58.4791827",85000.0,USD,1288804.0,85000.0,48.0,43.0,1770.833333,1976.744186,,,,http://villa-santa-rita.properati.com.ar/zkvj_venta_departamentos_villa-santa-rita_luminoso_placard_torres-propiedades
6666,6667,sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.6014274,-58.4163257",94700.0,USD,1435879.28,94700.0,45.0,45.0,2104.444444,2104.444444,,,,http://almagro.properati.com.ar/zkwb_venta_departamentos_almagro_balcon_parrilla_piscina_terraza_luminoso_garage_salguero-propiedades
6672,6673,sell,apartment,|Argentina|Capital Federal|Villa Urquiza|,"-34.5693072,-58.4872507",300000.0,USD,4548720.0,300000.0,130.0,100.0,2307.692308,3000.0,,,,http://villa-urquiza.properati.com.ar/utqq_venta_departamentos_villa-urquiza
6699,6700,sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.609224,-58.434428",123200.0,USD,1868007.68,123200.0,58.0,41.0,2124.137931,3004.878049,,1.0,,http://caballito.properati.com.ar/113y8_venta_departamentos_caballito_parrilla_piscina_garage_pronin-propiedades
6707,6708,sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6223362,-58.4348699",220000.0,USD,3335728.0,220000.0,99.0,59.0,2222.222222,3728.813559,,2.0,,http://caballito.properati.com.ar/12q2z_venta_departamentos_caballito_piscina_sum_aire-acondicionado_estrenar_subte-linea-a_subte-linea-e_le-bleu
6716,6717,sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.617078,-58.445013",145000.0,USD,2198548.0,145000.0,,57.0,,2543.859649,,2.0,,http://caballito.properati.com.ar/y2g5_venta_departamentos_caballito_balcon_lavadero_parrilla_terraza_luminoso_electrogeno_garage_aire-acondicionado_estrenar_re-max-bur-oacute
6729,6730,sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.6004652,-58.4425664",155000.0,USD,2350172.0,155000.0,85.0,80.0,1823.529412,1937.5,,4.0,,http://villa-crespo.properati.com.ar/10azk_venta_departamentos_villa-crespo_migliorisi-propiedades_cy0
